feature,pc1_weight,abs_weight
GDP,-0.5001743492191558,0.5001743492191558
Life.expect,-0.48308193929120197,0.48308193929120197
Pop.growth,-0.4756017088932103,0.4756017088932103
Inflation,0.40722061798967724,0.40722061798967724
Unemployment,0.27107731931581375,0.27107731931581375
Military,0.18760703936269654,0.18760703936269654
Area,0.12550907867530828,0.12550907867530828
