experiment_id,learning_rate,epochs,country,pc1_score
exp_004,0.0001,500,Denmark,-0.5498956917736285
exp_004,0.0001,500,United Kingdom,-0.9848208317551411
exp_004,0.0001,500,Ireland,-1.252018576301844
exp_004,0.0001,500,Greece,-1.3041276160467794
exp_004,0.0001,500,Netherlands,-1.4185882537249732
exp_004,0.0001,500,Norway,-1.8942063862131073
exp_004,0.0001,500,Switzerland,-2.355877678856113
exp_004,0.0001,500,Luxembourg,-2.703595454101807
exp_005,0.0001,1000,Ukraine,4.1539650583849586
exp_005,0.0001,1000,Latvia,2.1753028132804118
exp_005,0.0001,1000,Estonia,1.7240844897349472
exp_005,0.0001,1000,Lithuania,1.7055751210274415
exp_005,0.0001,1000,Bulgaria,1.5001780807044371
exp_005,0.0001,1000,Poland,1.0526908091591487
exp_005,0.0001,1000,Hungary,0.9622240377345482
exp_005,0.0001,1000,Slovakia,0.8731419373271776
exp_005,0.0001,1000,Croatia,0.1616828384127914
exp_005,0.0001,1000,Spain,0.15326742934356674
exp_005,0.0001,1000,Czech Republic,0.1418666834290508
exp_005,0.0001,1000,Iceland,0.005168501900247424
exp_005,0.0001,1000,Portugal,-0.07362179826188575
exp_005,0.0001,1000,Austria,-0.08753905501462733
exp_005,0.0001,1000,Germany,-0.10230953298593405
exp_005,0.0001,1000,Slovenia,-0.16514102435286987
exp_005,0.0001,1000,Belgium,-0.22329556252103885
exp_005,0.0001,1000,Finland,-0.27813771723504815
exp_005,0.0001,1000,Sweden,-0.34837981804551776
exp_005,0.0001,1000,Italy,-0.5814288994531662
exp_005,0.0001,1000,Denmark,-0.587901012541619
exp_005,0.0001,1000,United Kingdom,-0.9609479051140231
exp_005,0.0001,1000,Greece,-1.1901255313927037
exp_005,0.0001,1000,Ireland,-1.3182927914035725
exp_005,0.0001,1000,Netherlands,-1.4801735911153144
exp_005,0.0001,1000,Norway,-1.9461512364613514
exp_005,0.0001,1000,Switzerland,-2.4690225534349084
exp_005,0.0001,1000,Luxembourg,-2.7966797711051234
exp_006,0.0001,3000,Ukraine,4.167107545742867
exp_006,0.0001,3000,Latvia,2.1807357050148988
exp_006,0.0001,3000,Estonia,1.7326064037701148
exp_006,0.0001,3000,Lithuania,1.7074629320491521
exp_006,0.0001,3000,Bulgaria,1.5102956195906785
exp_006,0.0001,3000,Poland,1.0574981866160444
exp_006,0.0001,3000,Hungary,0.9671873409910974
exp_006,0.0001,3000,Slovakia,0.8744069041355902
exp_006,0.0001,3000,Croatia,0.16852101301305356
exp_006,0.0001,3000,Spain,0.15033057338773892
exp_006,0.0001,3000,Czech Republic,0.13998201573781943
exp_006,0.0001,3000,Iceland,-0.0050457649827791995
exp_006,0.0001,3000,Portugal,-0.07045923289457837
exp_006,0.0001,3000,Austria,-0.09409808880351914
exp_006,0.0001,3000,Germany,-0.10609653269714295
exp_006,0.0001,3000,Slovenia,-0.16447050977025818
exp_006,0.0001,3000,Belgium,-0.22691084946184864
exp_006,0.0001,3000,Finland,-0.2783286677356137
exp_006,0.0001,3000,Sweden,-0.3528598768081693
exp_006,0.0001,3000,Italy,-0.5850870307527936
exp_006,0.0001,3000,Denmark,-0.5911940468308389
exp_006,0.0001,3000,United Kingdom,-0.9586771072608153
exp_006,0.0001,3000,Greece,-1.1797228206252015
exp_006,0.0001,3000,Ireland,-1.3239805676816003
exp_006,0.0001,3000,Netherlands,-1.4854019949824453
exp_006,0.0001,3000,Norway,-1.9504828939048935
exp_006,0.0001,3000,Switzerland,-2.4787046506109895
exp_006,0.0001,3000,Luxembourg,-2.804613604245543
exp_007,0.001,25,Ukraine,4.461211954035746
exp_007,0.001,25,Latvia,2.301422690626905
exp_007,0.001,25,Estonia,1.937011286854974
exp_007,0.001,25,Bulgaria,1.7580641611803571
exp_007,0.001,25,Lithuania,1.7426698970446806
exp_007,0.001,25,Poland,1.1711605296035001
exp_007,0.001,25,Hungary,1.0859433402572942
exp_007,0.001,25,Slovakia,0.8992295477433987
exp_007,0.001,25,Croatia,0.3446043820763971
exp_007,0.001,25,Czech Republic,0.09140082502904318
exp_007,0.001,25,Spain,0.07473637257501353
exp_007,0.001,25,Portugal,0.013042625752523795
exp_007,0.001,25,Slovenia,-0.1436546797821006
exp_007,0.001,25,Germany,-0.20138519197482221
exp_007,0.001,25,Austria,-0.2610017075266287
exp_007,0.001,25,Iceland,-0.2674703406789187
exp_007,0.001,25,Finland,-0.28107745300096876
exp_007,0.001,25,Belgium,-0.31634067008153816
exp_007,0.001,25,Sweden,-0.46484324117511705
exp_007,0.001,25,Denmark,-0.6707962217731145
exp_007,0.001,25,Italy,-0.6725088229910691
exp_007,0.001,25,United Kingdom,-0.8931308518144514
exp_007,0.001,25,Greece,-0.898525096613711
exp_007,0.001,25,Ireland,-1.4596115198335124
exp_007,0.001,25,Netherlands,-1.6064258911325484
exp_007,0.001,25,Norway,-2.046866394940296
exp_007,0.001,25,Switzerland,-2.7072570251068466
exp_007,0.001,25,Luxembourg,-2.989602504354154
exp_008,0.001,50,Ukraine,4.827892519506502
exp_008,0.001,50,Bulgaria,2.4566281686649147
exp_008,0.001,50,Estonia,2.4304979525644823
exp_008,0.001,50,Latvia,2.414457236207784
exp_008,0.001,50,Lithuania,1.647331660973653
exp_008,0.001,50,Poland,1.440477984855315
exp_008,0.001,50,Hungary,1.3683019174395963
exp_008,0.001,50,Croatia,1.0022946125818626
exp_008,0.001,50,Slovakia,0.85531641308684
exp_008,0.001,50,Greece,0.39094772667398536
exp_008,0.001,50,Portugal,0.3651279108378994
exp_008,0.001,50,Slovenia,-0.017905932691588022
exp_008,0.001,50,Czech Republic,-0.10074910596398512
exp_008,0.001,50,Spain,-0.14960382504984315
exp_008,0.001,50,Finland,-0.24249920180598666
exp_008,0.001,50,Germany,-0.507226525723531
exp_008,0.001,50,United Kingdom,-0.5201476704603322
exp_008,0.001,50,Belgium,-0.6003631314453881
exp_008,0.001,50,Sweden,-0.8008846178936314
exp_008,0.001,50,Italy,-0.8606488680193878
exp_008,0.001,50,Austria,-0.8632289054697548
exp_008,0.001,50,Denmark,-0.8962592041204549
exp_008,0.001,50,Iceland,-1.2345949457963352
exp_008,0.001,50,Ireland,-1.7805738051853732
exp_008,0.001,50,Netherlands,-1.8427314162146855
exp_008,0.001,50,Norway,-2.1561501940709284
exp_008,0.001,50,Switzerland,-3.228054117041796
exp_008,0.001,50,Luxembourg,-3.3976526364397657
exp_009,0.001,100,Ukraine,4.634141012698607
exp_009,0.001,100,Bulgaria,2.596185907155241
exp_009,0.001,100,Estonia,2.486349339199659
exp_009,0.001,100,Latvia,2.3239001389146257
exp_009,0.001,100,Lithuania,1.543338401430538
exp_009,0.001,100,Poland,1.4703955347663729
exp_009,0.001,100,Hungary,1.396581824199592
exp_009,0.001,100,Croatia,1.2319868155894438
exp_009,0.001,100,Greece,0.9188148061891367
exp_009,0.001,100,Slovakia,0.7922897592218345
exp_009,0.001,100,Portugal,0.5039073602110427
exp_009,0.001,100,Slovenia,0.05222653634837149
exp_009,0.001,100,Czech Republic,-0.16167191863403307
exp_009,0.001,100,Spain,-0.1721949856462418
exp_009,0.001,100,Finland,-0.21377287416297885
exp_009,0.001,100,United Kingdom,-0.360152251898897
exp_009,0.001,100,Germany,-0.5836189819267973
exp_009,0.001,100,Belgium,-0.6722569462731274
exp_009,0.001,100,Italy,-0.8590001202856372
exp_009,0.001,100,Sweden,-0.876357321796031
exp_009,0.001,100,Denmark,-0.947809383104834
exp_009,0.001,100,Austria,-1.0542995138151219
exp_009,0.001,100,Iceland,-1.5424953794691012
exp_009,0.001,100,Ireland,-1.8109222224165002
exp_009,0.001,100,Netherlands,-1.8424296745291873
exp_009,0.001,100,Norway,-2.1118929943877403
exp_009,0.001,100,Switzerland,-3.2795323946908073
exp_009,0.001,100,Luxembourg,-3.461710472887356
exp_010,0.001,500,Ukraine,4.5811915893330735
exp_010,0.001,500,Bulgaria,2.609735557091466
exp_010,0.001,500,Estonia,2.4876622111924243
exp_010,0.001,500,Latvia,2.30611459616641
exp_010,0.001,500,Lithuania,1.5300582218551655
exp_010,0.001,500,Poland,1.471827742439146
exp_010,0.001,500,Hungary,1.3968316432443157
exp_010,0.001,500,Croatia,1.2695664226549002
exp_010,0.001,500,Greece,0.9996423551594712
exp_010,0.001,500,Slovakia,0.7829196004788979
exp_010,0.001,500,Portugal,0.5262022614727558
exp_010,0.001,500,Slovenia,0.06722019064066004
