experiment_id,learning_rate,epochs,variance_captured,explained_variance_ratio,final_step_change,similarity_to_baseline,distance_to_baseline,top_variables,top_positive_variables,top_negative_variables,top_countries_high,top_countries_low
exp_020,0.05,50,3.1665950725096237,0.45237072464423195,0.25580100658157917,0.9896882124851346,0.01031178751486539,"[""Pop.growth"", ""Inflation"", ""GDP""]","[""Inflation"", ""Unemployment"", ""Military""]","[""Pop.growth"", ""GDP"", ""Life.expect""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]","[""Switzerland"", ""Luxembourg"", ""Norway""]"
exp_021,0.05,100,3.135172373811952,0.4478817676874217,0.23875881617922043,0.980983804300956,0.019016195699044003,"[""Inflation"", ""Life.expect"", ""GDP""]","[""Inflation"", ""Unemployment"", ""Military""]","[""Life.expect"", ""GDP"", ""Pop.growth""]","[""Ukraine"", ""Estonia"", ""Latvia""]","[""Switzerland"", ""Luxembourg"", ""Norway""]"
exp_022,0.05,500,3.2271200130460125,0.4610171447208589,0.009170631004630975,0.9999845162226445,1.548377735549611e-05,"[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_023,0.05,1000,3.2271650180753175,0.46102357401075966,3.777308651828695e-05,0.9999993924677353,6.075322647181025e-07,"[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_024,0.05,3000,3.2271656297955387,0.4610236613993627,1.3256752820200682e-10,0.9999993548358891,6.451641109128659e-07,"[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_025,0.1,25,2.758110858953309,0.39401583699332987,0.49990955932017656,0.8955649766114047,0.10443502338859534,"[""Pop.growth"", ""Life.expect"", ""GDP""]","[""Pop.growth"", ""Life.expect"", ""GDP""]","[""Military"", ""Inflation"", ""Unemployment""]","[""Luxembourg"", ""Switzerland"", ""Ireland""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]"
exp_026,0.1,50,2.9675160661489857,0.42393086659271223,0.5655439788310345,0.953589040584601,0.04641095941539897,"[""Inflation"", ""Pop.growth"", ""Unemployment""]","[""Pop.growth"", ""Life.expect"", ""GDP""]","[""Inflation"", ""Unemployment"", ""Military""]","[""Switzerland"", ""Luxembourg"", ""Norway""]","[""Ukraine"", ""Estonia"", ""Latvia""]"
exp_027,0.1,100,2.7671719925611966,0.3953102846515995,0.4526451611346861,0.898889280088558,0.10111071991144205,"[""Inflation"", ""Life.expect"", ""GDP""]","[""Life.expect"", ""GDP"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""Switzerland"", ""Norway"", ""Luxembourg""]","[""Ukraine"", ""Estonia"", ""Latvia""]"
exp_028,0.1,500,3.2253419561887022,0.460763136598386,0.029496457676095333,0.999535299529301,0.0004647004706990199,"[""GDP"", ""Pop.growth"", ""Life.expect""]","[""GDP"", ""Pop.growth"", ""Life.expect""]","[""Inflation"", ""Unemployment"", ""Military""]","[""Luxembourg"", ""Switzerland"", ""Norway""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]"
exp_029,0.1,1000,3.2271626798341932,0.46102323997631334,0.00014481786028870867,0.9999989365733577,1.0634266423004135e-06,"[""GDP"", ""Life.expect"", ""Pop.growth""]","[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""Luxembourg"", ""Switzerland"", ""Norway""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]"
exp_030,0.1,3000,3.227165623684921,0.46102366052641724,2.8107384386472207e-10,0.9999993672927143,6.327072856748828e-07,"[""GDP"", ""Life.expect"", ""Pop.growth""]","[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""Luxembourg"", ""Switzerland"", ""Norway""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]"
